_recordId,QID3613_TEXT
R_2H3fjgJM2jf4w8N,"The main facts and information I took into account when trying to decide was what was for the greater good. What saved the most amount of people, I always went with that. It was harder when the figures were close but I still went with what would save the most. Trying to decide which method of dying was harder and not all that relevant to my ultimate decision because I still choose what would do the least harm to the most people. Killing anyone is morally wrong and I imagined if it was me and my loved ones in the scenario and I obviously wouldn't want us to die to save more people but looking at it from a subjective viewpoint I thought that was best. if the situations can be described as best."
R_8G2KrkjDnGJ5RBv,"It was difficult to make choices which would involve the deaths of some victims in order to save others regardless of the amount of people who could be saved if others were sacrificed. Having said that i tried to base my choices on whether the lives that could e saved greatly out weighed the lives that would be lost. My main reason for my choices though was regarding how much some victims would have to suffer in order to save others. If some people were going to suffer a long and painful death, the amount of lives this would save became less significant to me."
R_8Eu9ZujtIVAEoOu,"The first rule is that how many people will be saved if I change the decision. For example if I save 1000 people , I accept the killing of 50 people. The second rule is that how much they feel pain when they die. Some scenarios have stated painful and severe deaths. It is hard to take decision especially when I read the painful deaths.  Some scenarios offering of saving 200 people by killing 100 people. There is no big difference in numbers so I wont do change. It is kind of destiny there."
R_5eFNK4pnOaD5APg,"What guided me the most to answer was weighing in the pain and suffering for the moral choices, taking in account who would suffer more pain while alive.
Also, I tend to handwave a little more questions regarding mostly human related issues (such as war and environment manipulation).
Medical moral issues seems to be the hardest to think upon, since medics are bound to the Hippocratic Oath and those who are truly concerned with human lives would suffer psychologically as well, so I think I could ""forgive"" such extreme actions in order to save more patients.
Ecological in nature dillemas seems a little bit murky to me to think too, since any drastic change in a ecosystem could potentially worsen such scenarios beyond what was described."
R_2ElTagOPnhjM3iZ,This was not nice making decisions like this as it felt quite arbitrary. I thought about the amount of people dying vs the amount of people surviving and also how much pain the people dying would be in.
R_2N4YAjuc8qMiVmT,The main focus that guided my decision process was how many lives would be saved/lost in each decision because without knowing more information like the ages of the people that would be saved i can only assume that it would be better for me to save as many people as possible . I tried to ignore the horrific ways in which the people died and how much pain they would be in even though this was difficult as you don't want to know people suffered horrible deaths. I simply applied the logic of saving as much people as possible. I think when it comes to moral decisions sometimes you just have to use logic and think like a robot to decide which is the best outcome.
R_2QKkLYnwbgOWuRP,"Unfortunately having to make these kind of decisions is tough, as there is no right answer where whatever you do, some people will still die. In some scenarios it depends on the numbers, let 100 people die so that a million could live. Some people would refuse to sacrifice those 100 people if for example in those numbers their family and or friends were in. Other factor is how painful their deaths would be. Some deaths are painful, almost instant, while some are prolonged and the victims would be dying for days. Unfortunately I still went with the numbers wise, unless the number difference wasn't that big, so it might be better to chose that people would suffer for a long time before dying."
R_82o1DWNV1ZMFW2o,"I thought about the number of people that would be effected and played the odds. If there would be a significant number of people saved over a very small amount of people I would say its acceptable. The smaller the gap between the number of people dying, the less acceptable it became. I also thought about the way the people would die. The slower and more painful way was always the worst outcome. I wouls always sooner save the people who would have a more painful death unless the number was significantly smaller than the other population that would die."
R_8rHYg76kTCYg7bl,"MY mentality for most scenarios was ""sacrifice one for the welfare of many"". So i basically mostly looked at the numbers of people that would die as to people that would survive. For example, 30 versus 400000 people. It makes sense to me to sacrifice 30, as it is a small number compared to 400000. I would also ask myself the question ""how fair is this ?"". I think it also matters to look at what was happening, and sometimes conclude that it would not be fair to mess with destiny/universe and punish people who were automatically saved and healthy, in exchange for people who were already sick or rather in exchange for people whose destiny was already set."
R_25LwWH1oxdx1Kzw,"I do not believe that the ""greater good"" is an excuse in these scenarios, as many of them seemed to have alternate options (there would not be a ""nothing else can be done"" approach in the majority of the scenarios) - therefore I always chose to not have it be worth it to sacrofoce a smaller amount of people for the survival of the alrger gorup. In the second round of the same situations, I simply chose the outcomes that sounded more horrific accordingly (in the horrific-ness scale of the first question)."
R_6uJW68HPDNG5yd6,"I paid attention to how many people would be saved. I wanted to know if it would be worth sacrificing a few people to save many. if it meant sacrificing a hundred to save a million people I felt like it was more acceptable than sacrificing 10 to save 30. I also considered if the death would be quick or slow or if it would be painful or painless. if it were a long, drawn out death, I felt like the sacrifice was much less acceptable, even if it saved a lot of people. All of these things greatly impacted how I responded to each scenario."
R_8K6W8Sv25DB03At,"This was a really difficult study in terms of making the decisions; the stakes felt really high, despite being hypothetical. In answering which fate was worth, I weighed up first things like how long it would take to die, how severe the symptoms were, whether one would be surrounded by devastation (such as the earthquake etc) and similar. I tried to put myself in the situation and I weighed up how hellish the experience would be on both sides. When it was equally horrific, I just went with my gut. In the second question on each scenario, how acceptable it would be to kill X people to save Y people, the greater difference between the numbers guided me. For instance, I judged it more acceptable to kill 400 to save 40,000 than (for example) 10 to save 30. None of these decisions were easy; I really felt the weight of responsibility."
R_5JbiDojIpY2Zn6x,"My goal was to look out for the greater good. While I considered how painful some of the deaths would be, I ultimately decided to save the groups of people that had the highest population. I wanted to prevent as many casualties as possible. If I had to choose between saving 50 people or 1 million people, I was always going to save the 1 million first because saving as many lives as possible was my priority and stuck with that mindset throughout every scenario. There were times where I was almost swayed due to the severity of how painful some of the deaths sounded but I think most people would choose to save the most lives."
R_7J2yHxDuDLRkt6u,"I tried to take into consideration factors such as, how painful the death will be, how many people will die, and how many lives could be saved. If it was something like 10 people vs 1000 people, no matter how bad the death could be, i felt like it was something that was worth it. it was hard when either suffering would cause death and suffering. i would not be able to make these decisions in real life in a split second. I tried to pay attention to what would cause the least amount of suffering. it was difficult. "
R_20pi0v0LJuI8psk,what made me decide on the decisions i made was the number of people that were going to die. There is no way i would let a huge number of people die if i had a way to save them. I would rather let the fewer people die (not that they deserved to die) 
R_25HqHQXjUrzGCZM,"The most specific thing is the number of deaths. Every time we should consider saving more lives if there is no other option. Also, I was checking if there is a description of how people die in each scenario so I could decide and understand what death was worse. One more thing, if there are similar numbers of people I would go with lower points, not like 6. E.g. 400 and 300 are close to each other and should be harder to decide, so you can't chose 6. "
R_3CrTSVWNxAqe1q8,"I had a hard time deciding each of these, they were awful scenarios and both options were really bad, i tried to just think about which option sounded worse to em and if the numbers made sense to make a bad decision"
R_2CoqQjiV5SvrSeZ,"As I was going through the survey I thought that most of the scenarios would not be acceptable because the number of lives lost compared to the number of lives saved would be quite similar. However as I continued, the disparity in numbers became too much. One example compared saving 400,000 lives to merely 300 lives. That was the first scenario where I believe that it would be acceptable to save the greater number. After that scenario and once the scenarios were repeated I then changed my stance and realised and thought most were not acceptable however some were more acceptable than others."
R_6uU6W89q0iM0BH2,"The study made me read and think about what would be an acceptable response to a challenging situation where neither outcome would be ideal. The main goal for me that influenced my thought process was the preservation of life. I decided on the outcomes that would save the most people, even though it meant others had to suffer or die because of my decision. I weighed the consequences of saving others based on the number of people that could be saved vs ones that would die. My decisions were not really based on how painful the other person's experience may be while dying, but based on how many people would be saved. It was particularly easier for me to decide on outcomes that meant saving a disproportionate number of people vs ones who would die."
R_6F9YYwTklQX6c0C,"My responses reflected my choices and personal evaluation of every situation that was presented. I carefully evaluated the situations to ensure what the best outcome would be, in every case. I focused on how both causes in every situation had symbiosis, although in some cases, I had to go with some tough decisions. I took steps that ensured the safety of others and prevention of further negative outcomes. In some cases, my choices were hard and indicated that there must be some sort of sacrifice that would ensure future positivity, better results, and halting of issues and pandemics. I saw the need to narrow down my answers into two choices, evaluate the outcome (both positive and negative) of my choices, and select an answer that would ensure favorable and good results, some of the results could cause temporary and initial inconveniences, but had greatness ahead."
R_2Ht4LL2Huk00MkY,"My first though when reading each scenario was to see what position I hold in each scenario, see what disaster is going to happen, how it will happen and the results. Then, see how much suffering each party will be going through and evaluate if the suffering they will have is so extreme that it is more humane to sacrifice more lives. Lastly, even if people had to suffer, I would prioritize saving the majority of people if the number was almost double and above, as having a position of power over someone's life has to be met with an objective point of view and not a subjective, each choice would be met with some backlash but saving more people seems logical to me."
R_2fW5Q68DuwusN50,"I was looking at how deadly the disease is and how many people will survive. If the survival rate is more than the death rate. This is not suppose to be but in a situation where there is no other choice, then it is better to look for a higher survival rate. And for the other rating, I used the one that has a more horrific death sentence. People should not have to die a horrific death if we have a choice."
R_8kvwhIpWSrgnybS,I made the decisions depending on the number of people who would live and the number of those who would die and weighed the options
R_2OiuZilKt8LPTwV,"I do not believe any human life is superior to another and so I would not out rightly say who deserves to die and who shouldn't. On the other hand, when it's a game of numbers, if the proportion of those to stay alive is grossly higher in percentages of about 9 to 1 of persons who are likely to die, though painful and not wished for, the lower number of persons have to be done with."
R_1jd6EyrmUhbUy0t,"Based on how many people can be saved vs how many would die, even though it´s a horrible situation regardless of how many people die. When the number of people varied too much it was harder to make the decision because some scenarios had both painful and horrible deaths, others when the difference was much bigger (like the ones on the sacrifices scenarios) it was ""easier"", even though that word is not the most correct one to choose, because the amount of people that was going to be saved far exceeded the morality that ""I"" was faced. So it was basically a how much people could be saved."
R_5vX8fV0NOKbMyiZ,"My first thought was, was the cost of life worth the antidote or the solution.  If the numbers were close then i found it less likely i would take the chance and kill people,   but if the numbers were far off like, kill 30 people to save 4000 then i knew the choice would be to save more people.   I didn't want to have to make either decision, as i didn't want to kill anyone, and would have liked to find a solution to save them all, but if it came down to it, it would be sacrifice the few for the many.  "
R_8PMhIZTwEGjfvcK,"With each scenario I read, I evaluated which disease/situation would be more painful to have and die from. I would also consider the situation of how the people who get the more painful disease and how now it hurts that they now have to die because they unfortunately have it. I concluded that it would be better for the minority to die rather than the majority although both death situations would be painful. But when the difference was like between 30 and 40 people which would be more acceptable is difficult because the difference is not as significant, so with these I concluded that it would be a 50/50 situation. This would somehow still be acceptable yet still unacceptable."
R_8sbbUodf0fqFemd,"upon reading the scenarios it was apparent that both situations were obviously horrible, and I had to decide which was less horrible. to decide this, I considered a number of factors. firstly, it was important to weigh how much suffering each group of people would experience due to their conditions. if one situation would impart less suffering it was more tempting to then select unless it meant killing a lot more people in comparison. secondly when suffering was similar between the two groups. The decision was then only based on the number of victims who would succumb. The situation with less victims was then chosen."
R_2LBPYqmIj0Vrdoq,"I judged whether there was a big difference between the amount of people saved by sacrificing other people. If it was quite close, I found it was less fair to sacrifice them, but more so if there was a bigger gap. In addition, I considered what they were going to die from and how much pain this would cause, when determining which option would result in the worst death. Where is was very similar or the same kind of death, I judged it that a larger number of people killed would make it a worse option. In most occasions, I felt that it wasn't right to sacrifice people in order to save others."
R_82QYK7Gb04mVLJq,"Most of my decisions were driven by a sincere desire to avoid being responsible for anyone’s death or contributing to a situation where a life could be lost. I have always believed that no form of death is more horrific than another, because in every case, the outcome is still the same someone is gone, and that loss is deeply felt. This understanding shaped how I approached difficult choices, reminding me that preserving life, wherever possible, is the most important priority. Ultimately, my goal has always been to act in ways that minimize harm and acknowledge the value of every human life."
R_2x8TsZUlXbsMnNT,"A large part of my choices was shaped by the simple fact that I never wanted to be the reason someone lost their life. I have always carried a strong awareness of how fragile life is, and that understanding guided many of my actions. To me, no particular type of death is more tragic or terrifying than another, because regardless of how it happens, the result is still an irreplaceable loss. That perspective made it difficult to justify any decision that could knowingly put someone at risk. In every situation, I tried to prioritize safety, compassion, and the hope that no life would be unnecessarily taken."
R_86eTKSWSDaPneU0,"Well at the beginning how the people were dying was detailed for example the scenario with the bomb on the train, it was described that the people on board would die from drowning and pretty much detailing how they would suffer before dying. So it was a bit scary to imagine, then with the later scenarios although they were the same but they did not detail how the people died. Another factor was deciding if the lower number of people dying vs a higher number, obviously in any normal situation all lives are important but in some difficult situations saving the larger population may seem more logical."
R_2Nx1CflHFLXVaAN,"My decisions were primarily influenced by a rational assessment of consequences and risk. I recognized that any action leading to the loss of life regardless of the method results in the same measurable outcome: an irreversible reduction in human capital and societal value. From a logical standpoint, distinguishing one form of death as “worse” than another is not particularly meaningful, since the final state does not change. Therefore, it was more practical to avoid choices that could produce such irreversible outcomes. This approach ensured that my reasoning remained consistent, objective, and focused on minimizing avoidable losses while maintaining responsible decision making."
R_2P1pQUhlKN2gCyG,"My approach to decision making was based on evaluating potential outcomes and avoiding scenarios that introduced unnecessary or irreversible consequences. Since the end result of any death is fundamentally the same an absolute cessation of life there was no practical basis for ranking one type of death as more significant than another. This perspective allowed me to focus on preventing the outcome altogether rather than comparing methods or circumstances. By prioritizing actions that reduced overall risk, I aimed to ensure that no decision I made contributed to avoidable loss. This consistent, outcome focused reasoning guided most of the choices I ultimately took."
R_2G0Tzn5Rd0wbOsi,"While reading each scenario, I thought about the number of people involved in each one. It’s easier to say you would kill 10 people if you can save 500, but it’s more complicated to do the opposite. In each scenario, I couldn’t blame either side for what happened, so someone had to suffer. I think it’s “easy” to choose the side with fewer people involved, fewer deaths. Of course, this is me making decions based of texts while sit in my chair, at home. My decisions could be different in the moment, but i hope not."
R_5kc7XU16O3gPNIu,I always went with the one where there were more people saved however there were some cases where the amount was close so that was marked more towards the middle. 
